Country ID,Country name,Document ID by country,Government document,Policy targets green technology,Focus areas,action or strategy,Policy promotes youth employment,Policy promotes women employment,policy promotes employment of people with disabilities,Policy class,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,construction of manufacturing plants for heat transfer fluid and energy storage equipment;,No,No,No,economic instrument,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,construction of a factory for the manufacture of power unit equipment;,No,No,No,economic instrument,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,"incentive measures are provided for in particular by the law on energy management (benefits financial, tax and customs duties) for actions and projects that contribute to improving energy efficiency and the promotion of renewable energies",No,No,No,economic instrument,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,"development of the engineering activity and design, procurement and production capabilities.",No,No,No,economic instrument,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,a national energy management fund (fnme) has also been set up to finance these projects and grant unremunerated loans and guarantees for loans made from banks and establishments.,No,No,No,economic instrument,,
1,Algeria,1,Renewable Energy and Energy Efficiency Development Plan (2011-2030),Yes,energy,"increasing the skills of the engineering activity and design capacities,",No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,Port dredging,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,protecting maritime infrastructure against erosion,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,swell forecasting installation of radio tracers in the coastal area development of a database relating to the Algerian coastline and implementation establishment of a sediment map catalog,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,sea monitoring network,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,"observation of the sea surface, satellite and remote sensing monitoring",No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,collection of data on the acidification of marine waters development of a flood risk prevention plan (PPRI) in the Seybouse watershed,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,Development and revision of master development and urban planning plans (PDAU) and land use plans (POS),No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,Protecting the infrastructure network against flooding,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,coastal risk management,understanding impacts of climate change on coastal waters in Algeria and combating marine intrusion,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,understanding impacts of future climate change on the regulation capacity of reservoir dams,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,optimization and rehabilitation of irrigation systems,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,development and extension of drip irrigation,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,valorization and duplication of the experience of the wilaya of Oran on the production of organic compost as a natural fertilizer,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,geographic information system for the effective management of agricultural droughts,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,support for the implementation of childhood diarrhea surveillance in the wilaya of Oran,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,meteorology,support for the establishment of a meteorological pollen monitoring system in the Annaba region,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,assessment of the toxicological risk due to soil contamination linked to the reuse of treated domestic wastewater for irrigation,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,Assessment of the chemical quality of water resources,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,monitoring and alerting of health risks linked to climate change,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,support for the establishment of a structure dedicated to microbiological monitoring of aquatic environments,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,support for the finalization of a level 2 containment insectarium (12) at the Pasture Institute of Algeria (IPA),No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,Protecting emergency services from heat waves by installing suitable air conditioning systems,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,health,information and communication on the impact of climate change on human health so,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,environment,Rehabilitation Of rangelands by protecting,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,environment,Fight Against silting and providing exposed areas with specific means to deal with it,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,environment,"Development of local adaptation plans (for three pilot wilayas:M’Sila, El Bayadh, Sidi Bel Abbes)",No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,disaster risk management,Strengthening local capacities in disaster risk management covering the 48 wilayas,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,environment,Project to establish a network of resilient cities,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,environment,Assistance in formulating urban resilience Master plans in Chlef and Oran,No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,disaster risk management,"Development of a map of natural disasters and their impacts on the strategic road, port, and airport infrastructure",No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,disaster risk management,Variability and climate projection of heat waves in major coastal cities,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,study of the evolution of drought in western Algeria by 2050 to 2100,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,infrastructure,Provide areas exposed to snow with efficient snow removal methods,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,infrastructure,Provide areas exposed to sand accumulation with sand removal methods,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,infrastructure,adapt infrastructure in the South to extreme heat,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,infrastructure,strengthen research in the field of transport in relation to climate change,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,marine biodiversity,observation and analysis of marine ecosystem dynamics (DIMA),No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,marine biodiversity,immersion of artificial reefs to restore fishing areas,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,marine biodiversity,Establishment of a network to monitor the impact of climate change on the Posidonia meadow,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,marine biodiversity,Establishment of a national program for the management of invasive aquaculture species,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,marine biodiversity,establishment of a coralligenous monitoring network,No,No,No,procedural instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,Valorization of unconventional waters in arid zones,No,No,No,economic instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,national study on the reuse of treated wastewater,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,reuse of demineralized drainage water in agriculture: Oued Righ Valley,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,Project to replenish a pilot aquifer from surface resources,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,water,study of the vulnerability of groundwater resources to the effects of climate change,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,Improving agricultural practices for better use of rainwater in semi arid areas,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,"introduction of new adapted species and their promotion, such as opuntia",No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,"selection and genetic improvement of varieties of cereals, food legumes, further, market garden crops, and arboriculture",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,developing direct seeding techniques in marginal and erosion sensitive areas,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,agriculture,prevention of Bouhmama apple orchards against advanced drought and measures for sustainable irrigation,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,Restoration of the steppe ecosystem through the regeneration of esparto grass,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,"Installation of an observatory for the ecological, climatic, and socioeconomic monitoring of the steppe ecosystem.",No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,"Adaptation of forest ecosystems to climate change and strengthening their ecological resilience, case of high altitude summit species",No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,resilience of wetlands to climate change,No,No,No,direct provision,,
